,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-12-14 15:48:24,54.667 sec,0.0,,,,,,
1,,2018-12-14 15:48:25,54.995 sec,1.0,45.11569652936899,18.02140914792937,2035.4260733301169,41.150315032426256,17.305078587628895,1693.3484272679266
2,,2018-12-14 15:48:25,55.230 sec,2.0,41.19017577885899,17.51304520441778,1696.630580693302,34.87178433318729,15.517368785425738,1216.0413425803267
3,,2018-12-14 15:48:25,55.444 sec,3.0,37.540454394003284,16.89516126716036,1409.2857161082406,33.05322751264022,14.911206699228355,1092.5158490023562
4,,2018-12-14 15:48:25,55.650 sec,4.0,36.528738787018966,16.53636645887909,1334.348757370264,31.96089347643183,14.453489022453514,1021.4987118118229
5,,2018-12-14 15:48:26,55.848 sec,5.0,35.625966395087715,16.217126865444722,1269.2094815839191,31.313377814748172,14.159700859725158,980.5276301691631
6,,2018-12-14 15:48:26,56.059 sec,6.0,35.51668807257891,16.00339293201733,1261.435131644869,31.076485227805254,14.124465128049769,965.7479341139982
7,,2018-12-14 15:48:26,56.273 sec,7.0,34.78296070096685,15.709098097415076,1209.8543551250045,30.912302888583703,14.02925778503512,955.5704698755403
8,,2018-12-14 15:48:26,56.492 sec,8.0,34.106926392363086,15.478651727663209,1163.2824279340737,30.72774735939788,13.975779857265412,944.1944577829835
9,,2018-12-14 15:48:27,56.702 sec,9.0,33.59487980965886,15.260840795114625,1128.6159494254246,30.575877318641535,13.907197339620998,934.8842738046179
10,,2018-12-14 15:48:27,56.926 sec,10.0,32.77551808470374,15.087565860152008,1074.2345857207422,30.52593990446573,13.881957477312902,931.8330070510532
11,,2018-12-14 15:48:27,57.122 sec,11.0,32.374765655981534,14.946094934915761,1048.1254512797216,30.468003662101285,13.85719714993,928.2992471538173
12,,2018-12-14 15:48:27,57.248 sec,12.0,31.99783098866033,14.769930511677945,1023.8611879788713,30.375995947619455,13.789408459380779,922.7011298097934
13,,2018-12-14 15:48:27,57.471 sec,13.0,31.746949063612593,14.678833923817955,1007.8687748476125,30.30196541617753,13.708566471516686,918.209108083219
14,,2018-12-14 15:48:27,57.668 sec,14.0,31.521123475001325,14.57856937711866,993.5812251262796,30.24715612572692,13.67131065112282,914.8904536940995
15,,2018-12-14 15:48:28,57.858 sec,15.0,31.258659871458992,14.474776751601848,977.1038169595607,30.184730563555966,13.64077775156522,911.1179591944697
16,,2018-12-14 15:48:28,58.073 sec,16.0,31.03259236878635,14.387887796037834,963.0217891272569,30.092477404896908,13.604414930033059,905.557196364231
17,,2018-12-14 15:48:28,58.264 sec,17.0,30.89086728255521,14.325216732783922,954.2456814684399,30.068278498212546,13.57575395929507,904.1013718460708
18,,2018-12-14 15:48:28,58.457 sec,18.0,30.73459342272874,14.247361147950018,944.6152328604408,29.987525692461954,13.530163557751255,899.2516971560658
19,,2018-12-14 15:48:28,58.653 sec,19.0,30.591223288926177,14.176515385414959,935.8229423129392,29.96113705641919,13.517379583137455,897.6697337135352
20,,2018-12-14 15:48:33, 1 min  2.788 sec,42.0,29.54018287794476,13.635695232599256,872.6224044624207,29.472130971829042,13.280536700976711,868.6065040206446
21,,2018-12-14 15:48:34, 1 min  4.294 sec,50.0,29.388552787632165,13.566341334132575,863.6870349514423,29.451588451637342,13.270216192853418,867.396062324618
